Show Id;Type;Title;Country;Date Added;Release Year;Rating;Duration;Listed In
s1;TV Show;3%;Brazil;August 14, 2020;2020;TV-MA;4 Seasons;International TV Shows, TV Dramas, TV Sci-Fi & Fantasy
s2;Movie;07:19;Mexico;December 23, 2016;2016;TV-MA;93 min;Dramas, International Movies
s3;Movie;23:59;Singapore;December 20, 2018;2011;R;78 min;Horror Movies, International Movies
s4;Movie;9;United States;November 16, 2017;2009;PG-13;80 min;Action & Adventure, Independent Movies, Sci-Fi & Fantasy
s5;Movie;21;United States;January 1, 2020;2008;PG-13;123 min;Dramas
s6;TV Show;46;Turkey;July 1, 2017;2016;TV-MA;1 Season;International TV Shows, TV Dramas, TV Mysteries
s7;Movie;122;Egypt;June 1, 2020;2019;TV-MA;95 min;Horror Movies, International Movies
s8;Movie;187;United States;November 1, 2019;1997;R;119 min;Dramas
s9;Movie;706;India;April 1, 2019;2019;TV-14;118 min;Horror Movies, International Movies
s10;Movie;1920;India;December 15, 2017;2008;TV-MA;143 min;Horror Movies, International Movies, Thrillers
s11;Movie;1922;United States;October 20, 2017;2017;TV-MA;103 min;Dramas, Thrillers
s12;TV Show;1983;Poland, United States;November 30, 2018;2018;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas
s13;TV Show;1994;Mexico;May 17, 2019;2019;TV-MA;1 Season;Crime TV Shows, Docuseries, International TV Shows
s14;Movie;2,215;Thailand;March 1, 2019;2018;TV-MA;89 min;Documentaries, International Movies, Sports Movies
s15;Movie;3022;United States;March 19, 2020;2019;R;91 min;Independent Movies, Sci-Fi & Fantasy, Thrillers
s16;Movie;Oct-01;Nigeria;September 1, 2019;2014;TV-14;149 min;Dramas, International Movies, Thrillers
s17;TV Show;Feb-09;"function () {
    return faker.random.arrayElement(faker.definitions.address.country);
  }";March 20, 2019;2018;TV-14;1 Season;International TV Shows, TV Dramas
s18;Movie;22/jul;Norway, Iceland, United States;October 10, 2018;2018;R;144 min;Dramas, Thrillers
s19;Movie;15-Aug;India;March 29, 2019;2019;TV-14;124 min;Comedies, Dramas, Independent Movies
s20;Movie;89;United Kingdom;May 16, 2018;2017;TV-PG;87 min;Sports Movies
s21;Movie;Kuch Bheege Alfaaz;India;September 1, 2018;2018;TV-14;110 min;Dramas, Independent Movies, International Movies
s22;Movie;Goli Soda 2;India;September 15, 2018;2018;TV-14;128 min;Action & Adventure, Dramas, International Movies
s23;Movie;Maj Rati Keteki;India;September 15, 2018;2017;TV-14;117 min;Dramas, International Movies
s24;Movie;Mayurakshi;India;September 15, 2018;2017;TV-14;100 min;Dramas, International Movies
s25;TV Show;SAINT SEIYA: Knights of the Zodiac;Japan;January 23, 2020;2020;TV-14;2 Seasons;Anime Series, International TV Shows
s26;Movie;(T)ERROR;United States;June 30, 2016;2015;NR;84 min;Documentaries
s27;TV Show;(Un)Well;United States;August 12, 2020;2020;TV-MA;1 Season;Reality TV
s28;Movie;#Alive;South Korea;September 8, 2020;2020;TV-MA;99 min;Horror Movies, International Movies, Thrillers
s29;Movie;#AnneFrank - Parallel Stories;Italy;July 1, 2020;2019;TV-14;95 min;Documentaries, International Movies
s30;TV Show;#blackAF;United States;April 17, 2020;2020;TV-MA;1 Season;TV Comedies
s31;Movie;#cats_the_mewvie;Canada;February 5, 2020;2020;TV-14;90 min;Documentaries, International Movies
s32;Movie;#FriendButMarried;Indonesia;May 21, 2020;2018;TV-G;102 min;Dramas, International Movies, Romantic Movies
s33;Movie;#FriendButMarried 2;Indonesia;June 28, 2020;2020;TV-G;104 min;Dramas, International Movies, Romantic Movies
s34;Movie;#realityhigh;United States;September 8, 2017;2017;TV-14;99 min;Comedies
s35;Movie;#Roxy;Canada;April 10, 2019;2018;TV-14;105 min;Comedies, Romantic Movies
s36;Movie;#Rucker50;United States;December 1, 2016;2016;TV-PG;56 min;Documentaries, Sports Movies
s37;Movie;#Selfie;Romania;June 1, 2019;2014;TV-MA;125 min;Comedies, Dramas, International Movies
s38;Movie;#Selfie 69;Romania;June 1, 2019;2016;TV-MA;119 min;Comedies, Dramas, International Movies
s39;TV Show;(Nome desconhecido);"function () {
    return faker.random.arrayElement(faker.definitions.address.country);
  }";March 30, 2019;2016;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Comedies
s40;Movie;!Ay, mi madre!;Spain;July 19, 2019;2019;TV-MA;81 min;Comedies, International Movies
s41;Movie;Carsi Pazar;Turkey;March 10, 2017;2015;TV-14;97 min;Comedies, International Movies
s42;Movie;Eg man Big;Iceland;March 27, 2018;2017;TV-MA;106 min;Horror Movies, International Movies
s43;Movie;Cok Filim Hareketler Bunlar;Turkey;March 10, 2017;2010;TV-MA;99 min;Comedies, International Movies
s44;Movie;OlOturE;Nigeria;October 2, 2020;2020;TV-MA;107 min;Dramas, International Movies
s45;Movie;Aon Flux;United States;February 1, 2018;2005;PG-13;93 min;Action & Adventure, Sci-Fi & Fantasy
s46;TV Show;subat;Turkey;January 17, 2017;2013;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas
s47;Movie;1 Chance 2 Dance;United States;July 1, 2017;2014;TV-PG;89 min;Dramas, Romantic Movies
s48;Movie;1 Mile to You;United States;July 7, 2017;2017;TV-14;105 min;Dramas, Romantic Movies, Sports Movies
s49;Movie;10 Days in Sun City;South Africa, Nigeria;October 18, 2019;2017;TV-14;87 min;Comedies, International Movies, Romantic Movies
s50;Movie;10 jours en or;France;July 1, 2017;2012;TV-14;97 min;Comedies, Dramas, International Movies
s51;Movie;10,000 B.C.;United States, South Africa;June 1, 2019;2008;PG-13;109 min;Action & Adventure
s52;TV Show;100 Days My Prince;South Korea;December 7, 2020;2018;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Dramas
s53;Movie;100 Days Of Solitude;Spain;July 6, 2018;2018;TV-MA;93 min;Documentaries, International Movies
s54;TV Show;100 Humans;United States;March 13, 2020;2020;TV-14;1 Season;Docuseries, Science & Nature TV
s55;Movie;100 Meters;Portugal, Spain;March 10, 2017;2016;TV-MA;109 min;Dramas, International Movies, Sports Movies
s56;Movie;100 Things to do Before High School;United States;November 2, 2019;2014;TV-Y;44 min;Movies
s57;Movie;100 Years: One Womans Fight for Justice;United States;March 20, 2018;2016;TV-14;75 min;Documentaries
s58;Movie;100% Halal;Indonesia;January 7, 2021;2020;TV-14;101 min;Dramas, International Movies
s59;TV Show;100% Hotter;United Kingdom;November 1, 2019;2017;TV-14;1 Season;British TV Shows, International TV Shows, Reality TV
s60;Movie;1000 Rupee Note;India;December 1, 2016;2014;TV-14;89 min;Dramas, International Movies
s61;Movie;12 ROUND GUN;United States;March 14, 2019;2017;TV-MA;90 min;Dramas, Independent Movies, Sports Movies
s62;TV Show;12 Years Promise;South Korea;May 22, 2017;2014;TV-14;1 Season;International TV Shows, Korean TV Shows, Romantic TV Shows
s63;Movie;13 Cameras;United States;August 13, 2016;2015;NR;90 min;Horror Movies, Independent Movies, Thrillers
s64;TV Show;13 Reasons Why;United States;June 5, 2020;2020;TV-MA;4 Seasons;Crime TV Shows, TV Dramas, TV Mysteries
s65;TV Show;13 Reasons Why: Beyond the Reasons;United States;August 23, 2019;2019;TV-MA;3 Seasons;Crime TV Shows, Docuseries
s66;Movie;13 Sins;United States;January 13, 2019;2014;R;93 min;Horror Movies, Thrillers
s67;Movie;13TH;United States;October 7, 2016;2016;TV-MA;101 min;Documentaries
s68;Movie;13TH: A Conversation with Oprah Winfrey & Ava DuVernay;"function () {
    return faker.random.arrayElement(faker.definitions.address.country);
  }";January 26, 2017;2017;;37 min;Movies
s69;Movie;14 Blades;Hong Kong, China, Singapore;April 3, 2019;2010;R;113 min;Action & Adventure, International Movies
s70;Movie;14 Cameras;United States;October 27, 2018;2018;TV-MA;89 min;Horror Movies, Thrillers
s71;Movie;14 Minutes from Earth;United States;February 1, 2019;2016;TV-MA;84 min;Documentaries
s72;Movie;16 Blocks;United States, Germany;November 1, 2019;2006;PG-13;102 min;Action & Adventure
s73;Movie;17 Again;United States;January 1, 2021;2009;PG-13;102 min;Comedies
s74;Movie;18 Presents;Italy;May 8, 2020;2020;TV-MA;114 min;Dramas, Independent Movies, International Movies
s75;Movie;1898: Our Last Men in the Philippines;Spain;June 2, 2017;2016;R;130 min;Dramas, International Movies
s76;Movie;1BR;United States;August 23, 2020;2019;TV-MA;90 min;Horror Movies, Independent Movies, Thrillers
s77;Movie;1st Summoning;United States;July 26, 2019;2018;TV-MA;94 min;Horror Movies, Independent Movies
s78;Movie;2 Alone in Paris;France;June 1, 2020;2008;TV-MA;97 min;Comedies, International Movies
s79;Movie;2 States;India;August 4, 2018;2014;TV-PG;143 min;Comedies, Dramas, International Movies
s80;Movie;20 Feet From Stardom;United States;September 22, 2018;2013;PG-13;91 min;Documentaries, Music & Musicals
